		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
					(0.16)																												(0.19)	(0.19)	(0.19)	(0.19)	(0.19)	(0.18)	(0.26)	(0.19)	(0.19)	(0.19)	(0.19)	(0.17)	(0.21)	(0.18)
YEARAF	(mean) YEARAF		0.0029*	0.11																			0.0024	0.0037*	0.0031	0.0033	0.0032	0.0032	0.0032	0.0085***	0.0075***	0.0076***														
			(0.0017)	(0.23)																			(0.0018)	(0.0022)	(0.0025)	(0.0023)	(0.0025)	(0.0023)	(0.0023)	(0.0024)	(0.0023)	(0.0025)														
yearsq	yearsq			-0.000029																																										
				(0.000066)																																										
war	(mean) war					0.032																	0.014	0.0056	0.0019	0.00055	0.00092	-0.0012	-0.0012	0.020	0.0057	0.0035	-0.018	-0.014	0.035	0.035	0.024	0.050	0.035	0.035	0.044	-0.018	-0.014	0.0068	0.035	0.019
						(0.058)																	(0.059)	(0.061)	(0.063)	(0.063)	(0.063)	(0.063)	(0.063)	(0.062)	(0.060)	(0.062)	(0.067)	(0.066)	(0.069)	(0.069)	(0.067)	(0.070)	(0.059)	(0.069)	(0.071)	(0.067)	(0.066)	(0.062)	(0.057)	(0.066)
neutral	(mean) neutral					0.080																	0.059	0.060	0.046	0.043	0.041	0.039	0.039	-0.0071	-0.0079	-0.010	-0.011	-0.0100	0.0091	0.0091	0.027	0.049	0.0091	0.0091	0.022	-0.011	-0.0100	0.076	0.0091	0.063
						(0.060)																	(0.062)	(0.064)	(0.066)	(0.065)	(0.066)	(0.065)	(0.065)	(0.064)	(0.062)	(0.065)	(0.076)	(0.076)	(0.077)	(0.077)	(0.075)	(0.079)	(0.092)	(0.077)	(0.079)	(0.076)	(0.076)	(0.069)	(0.087)	(0.075)
pricemarkup	(mean) pricemarkup						0.0049																	0.028	0.019	0.024	0.017	0.023	0.023	0.041	0.037	0.039	0.012	0.012	-0.0065	-0.0065	-0.0013		-0.0065	-0.0065	-0.0082	0.012	0.012	-0.021	-0.0065	
							(0.020)																	(0.026)	(0.028)	(0.028)	(0.027)	(0.028)	(0.028)	(0.027)	(0.026)	(0.027)	(0.025)	(0.025)	(0.026)	(0.026)	(0.026)		(0.024)	(0.026)	(0.027)	(0.025)	(0.025)	(0.023)	(0.023)	
captain_experience_d	Not the first voyage of the captain							-0.025																				0.0055	0.0055	-0.0026	-0.00040	-0.00016	-0.00070	-0.00069	-0.017	-0.017	-0.0057	0.0020	-0.017	-0.017	-0.0093	-0.00070	-0.00069	-0.028	-0.017	
								(0.051)																				(0.051)	(0.051)	(0.050)	(0.049)	(0.051)	(0.051)	(0.052)	(0.054)	(0.054)	(0.053)	(0.056)	(0.056)	(0.054)	(0.055)	(0.051)	(0.052)	(0.048)	(0.052)	
captain_experience	(min) captain_experience								-0.00042																		0.00088																			
									(0.0097)																		(0.0098)																			
captain_total_career	(mean) captain_total_career									0.0036																																				
										(0.0061)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.11															0.091		0.094	0.094	0.11*	0.067	0.073	0.077	0.076	0.051	0.051	0.071	0.066	0.051	0.051	0.035	0.077	0.076	0.025	0.051	
											(0.069)															(0.069)		(0.069)	(0.069)	(0.067)	(0.066)	(0.068)	(0.070)	(0.070)	(0.073)	(0.073)	(0.071)	(0.072)	(0.063)	(0.073)	(0.074)	(0.070)	(0.070)	(0.064)	(0.059)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.0010													0.00027		0.00011																			
												(0.0012)													(0.0014)		(0.0014)																			
OUTFITTER_total_career	(mean) OUTFITTER_total_career												0.0033***																																	
													(0.0012)																																	
1.perspective	Perspective of source = 1, Captain													-0.42																																
														(0.43)																																
3.perspective	Perspective of source = 3, Investor													0.11																																
														(0.30)																																
4.perspective	Perspective of source = 4, Owner													0.41																																
														(0.52)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.13**															0.043	0.050	0.052	0.057				0.69***					0.057				
															(0.055)															(0.057)	(0.055)	(0.069)	(0.071)				(0.19)					(0.071)				
MORTALITY	Enslaved person mortality rate															-1.10***			-1.14***												-1.07***	-1.08***	-1.09***	-1.09***	-1.10***	-1.10***	-1.17***		-1.10***	-1.10***	-1.02***	-1.09***	-1.09***	-1.11***	-1.10***	
																(0.30)			(0.30)												(0.29)	(0.30)	(0.31)	(0.31)	(0.31)	(0.31)	(0.31)		(0.27)	(0.31)	(0.32)	(0.31)	(0.31)	(0.28)	(0.26)	
crowd	(mean) crowd																0.083*	0.083*	0.075*													0.0015	-0.021	0.012	0.014	0.014	-0.13		0.014	0.014	0.11**	-0.021	0.012	-0.0036	0.014	
																	(0.046)	(0.046)	(0.045)													(0.061)	(0.060)	(0.053)	(0.056)	(0.056)	(0.092)		(0.085)	(0.056)	(0.050)	(0.060)	(0.053)	(0.050)	(0.060)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.054															-0.088	-0.088	-0.59***	-0.14	-0.088	-0.088	-0.18***			-0.0032	-0.088	-0.11**
																				(0.044)															(0.059)	(0.059)	(0.13)	(0.14)	(0.14)	(0.059)	(0.055)			(0.053)	(0.11)	(0.049)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.064***									-0.084***	-0.084***	-0.083***	-0.082***	-0.086***	-0.086***	-0.086***	0.065		-0.086	-0.086***		-0.082***	-0.086***	-0.078***	-0.086*	
																					(0.016)									(0.019)	(0.018)	(0.019)	(0.020)	(0.019)	(0.025)	(0.025)	(0.044)		(0.078)	(0.025)		(0.020)	(0.019)	(0.022)	(0.046)	
1.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 1, Bight of Guinea																					-0.0012																								
																						(0.060)																								
2.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 2, South																					0.047																								
																						(0.072)																								
TONMOD	(mean) TONMOD																																	0.00022			-0.000020	0.00026					0.00022			
																																		(0.00038)			(0.00065)	(0.00074)					(0.00038)			
totalnetexpperton	totalnetexpperton																																					-0.000027								
																																						(0.000041)								
Constant	Constant	0.096***	-4.95	-95.5	0.071**	0.075**	0.078	0.11**	0.090**	0.065	-0.0022	0.079**	0.011	-0.016	-0.64**	0.25***	-0.038	-0.038	0.14	0.81	0.24***	0.097*	-4.17	-6.57*	-5.47	-5.91	-5.58	-5.83	-5.83	-15.3***	-13.3***	-13.4***	0.017	0.25	1.53**	1.53**	4.27***	1.88	1.53	1.53**	2.32***	0.017	0.25	0.51	1.53	1.52**
		(0.029)	(3.00)	(207)	(0.033)	(0.036)	(0.078)	(0.047)	(0.038)	(0.050)	(0.064)	(0.032)	(0.041)	(0.30)	(0.30)	(0.051)	(0.077)	(0.077)	(0.086)	(0.58)	(0.047)	(0.054)	(3.16)	(3.93)	(4.49)	(4.06)	(4.49)	(4.05)	(4.05)	(4.20)	(4.13)	(4.44)	(0.39)	(0.19)	(0.75)	(0.75)	(1.01)	(1.59)	(1.58)	(0.75)	(0.73)	(0.39)	(0.19)	(0.68)	(1.37)	(0.64)
																																														
Observations		346	346	346	346	346	328	330	330	330	323	323	323	346	326	325	299	299	294	327	326	298	346	328	310	310	309	309	309	301	300	292	292	292	275	275	275	282	275	275	275	292	292	274	275	327
R-squared		0.156	0.162	0.163	0.165	0.160	0.029	0.154	0.153	0.154	0.118	0.114	0.132	0.165	0.174	0.191	0.018	0.018	0.062	0.165	0.197	0.063	0.165	0.047	0.031	0.037	0.026	0.032	0.032	0.116	0.149	0.149	0.138	0.138	0.155	0.155	0.212	0.066	0.155	0.155	0.116	0.138	0.138	0.134	0.155	0.185
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
