transactionid,ventureid,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,timing,currency,remarks,specificationcategory,dateoftransaction,transaction_year
DR008_T002,DR008,Expenditure,Other expenditures,93.449997,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various,,
DR008_T003,DR008,Expenditure,Trade cargo costs,627.38,Credit,0,,Outfitting,Pound sterling,,Trade cargo,,
DR008_T004,DR008,Return,Other return,343.53,,0,,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).,Various,,
DR008_T005,DR008,Return,Returned goods,97.110001,,0,,Return,Pound sterling,,Cargo,,
DR008_T006,DR008,Return,Sale of sugar,316.48999,,0,,Return,Pound sterling,,Cargo,,
DR009_H001,DR009,Expenditure,Ship Out,285.974,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR009_H002,DR009,Return,Ship In,214.4805,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR009_T001,DR009,Expenditure,Insurance,36.16,,0,,Outfitting,Pound sterling,,Insurance,-75463,1753
DR009_T002,DR009,Expenditure,Other expenditures,503.45999,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various,-75463,1753
DR009_T003,DR009,Expenditure,Trade cargo costs,1142.58,Credit,0,,Outfitting,Pound sterling,,Trade cargo,-75341,1753
DR009_T004,DR009,Return,Other return,1909.27,,0,,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).,Various,-74824,1755
DR009_T005,DR009,Return,Returned goods,8.0799999,,0,,Return,Pound sterling,,Cargo,-74824,1755
DR010_H001,DR010,Expenditure,Ship Out,149.3994,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR010_H002,DR010,Return,Ship In,112.04955,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR010_T001,DR010,Expenditure,Insurance,23.33,,0,,Outfitting,Pound sterling,,Insurance,-75927,1752
DR010_T002,DR010,Expenditure,Other expenditures,352.64999,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various,-75927,1752
DR010_T003,DR010,Expenditure,Trade cargo costs,502.84,Credit,0,,Outfitting,Pound sterling,,Trade cargo,-75927,1752
DR010_T004,DR010,Return,Other return,852.59998,,0,,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).,Various,-74824,1755
DR010_T005,DR010,Return,Returned goods,224.25,,0,,Return,Pound sterling,,Cargo,-74824,1755
DR011_H001,DR011,Expenditure,Ship Out,186.60561,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR011_H002,DR011,Return,Ship In,139.95419,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR011_T001,DR011,Expenditure,Insurance,18.9,,0,,Outfitting,Pound sterling,,Insurance,,
