transactionid,ventureid,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,timing,currency,remarks,specificationcategory,dateoftransaction,transaction_year
DR102_T002,DR102,Return,Bills of exchange,9633,,0,,Return,Pound sterling,,Credit,,
DR103_H001,DR103,Return,Ship In,488,nan,0,VSRV,Return,Pound sterling,,Ship,,
DR103_H002,DR103,Expenditure,Insurance,723,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR103_T001,DR103,Expenditure,Ship Out,650,,0,,Outfitting,Pound sterling,,Ship,,
DR103_T002,DR103,Expenditure,Trade cargo costs,3809,,0,,Outfitting,Pound sterling,,Trade cargo,,
DR103_T003,DR103,Expenditure,Other costs,2111,,0,,Outfitting,Pound sterling,,Various,,
DR103_T004,DR103,Return,Bills of exchange,4500,,0,,Return,Pound sterling,,Credit,,
DR104_H001,DR104,Expenditure,Insurance,1870,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR104_H002,DR104,Expenditure,Ship Out,1763,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR104_T001,DR104,Expenditure,Outfit and cargo,8500,,0,,Outfitting,Pound sterling,,,,
DR105_H001,DR105,Expenditure,Insurance,770,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR105_H002,DR105,Expenditure,Ship Out,726,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR105_T001,DR105,Expenditure,Outfit and cargo,3500,,0,,Outfitting,Pound sterling,,,,
DR106_H001,DR106,Expenditure,Insurance,1100,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR106_H002,DR106,Expenditure,Ship Out,1037,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR106_T001,DR106,Expenditure,Outfit and cargo,5000,,0,,Outfitting,Pound sterling,,,,
DR107_H001,DR107,Expenditure,Insurance,1276,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR107_H002,DR107,Expenditure,Ship Out,1203,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR107_T001,DR107,Expenditure,Outfit and cargo,5800,,0,,Outfitting,Pound sterling,,,,
DR108_H001,DR108,Expenditure,Insurance,1188,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR108_H002,DR108,Expenditure,Ship Out,1120,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR108_T001,DR108,Expenditure,Outfit and cargo,5400,,0,,Outfitting,Pound sterling,,,,
DR109_H001,DR109,Expenditure,Insurance,1540,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR109_H002,DR109,Expenditure,Ship Out,1452,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR109_T001,DR109,Expenditure,Outfit and cargo,7000,,0,,Outfitting,Pound sterling,,,,
DR110_H001,DR110,Expenditure,Insurance,924,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR110_H002,DR110,Expenditure,Ship Out,684,nan,0,VSDT*VSDO*VSRV,Outfitting,Pound sterling,Residual value from previous voyage DR028,Ship,,
DR110_T001,DR110,Expenditure,Outfit and cargo,8400,,0,,Outfitting,Pound sterling,,,,
DR111_H001,DR111,Expenditure,Insurance,627,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR111_H002,DR111,Expenditure,Ship Out,1076,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR111_T001,DR111,Expenditure,Outfit and cargo,5700,,0,,Outfitting,Pound sterling,,,,
DR112_H001,DR112,Expenditure,Insurance,572,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR112_H002,DR112,Expenditure,Ship Out,981,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR112_T001,DR112,Expenditure,Outfit and cargo,5200,,0,,Outfitting,Pound sterling,,,,
DR113_H001,DR113,Expenditure,Insurance,880,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR113_H002,DR113,Expenditure,Ship Out,1510,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR113_T001,DR113,Expenditure,Outfit and cargo,8000,,0,,Outfitting,Pound sterling,,,,
DR114_H001,DR114,Expenditure,Insurance,660,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR114_H002,DR114,Expenditure,Ship Out,1132,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR114_T001,DR114,Expenditure,Outfit and cargo,6000,,0,,Outfitting,Pound sterling,,,,
DR115_H001,DR115,Expenditure,Insurance,572,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR115_H002,DR115,Expenditure,Ship Out,981,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR115_T001,DR115,Expenditure,Outfit and cargo,5200,,0,,Outfitting,Pound sterling,,,,
DR116_H001,DR116,Expenditure,Insurance,374,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR116_H002,DR116,Expenditure,Ship Out,642,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR116_T001,DR116,Expenditure,Outfit and cargo,3400,,0,,Outfitting,Pound sterling,,,,
DR117_H001,DR117,Expenditure,Insurance,1100,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR117_H002,DR117,Expenditure,Ship Out,1887,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR117_T001,DR117,Expenditure,Outfit and cargo,10000,,0,,Outfitting,Pound sterling,,,,
DR118_H001,DR118,Expenditure,Insurance,550,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR118_H002,DR118,Expenditure,Ship Out,944,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR118_T001,DR118,Expenditure,Outfit and cargo,5000,,0,,Outfitting,Pound sterling,,,,
DR119_H001,DR119,Expenditure,Insurance,550,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR119_H002,DR119,Expenditure,Ship Out,944,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR119_T001,DR119,Expenditure,Outfit and cargo,5000,,0,,Outfitting,Pound sterling,,,,
DR120_H001,DR120,Expenditure,Insurance,473,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR120_H002,DR120,Expenditure,Ship Out,811,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR120_T001,DR120,Expenditure,Outfit and cargo,4300,,0,,Outfitting,Pound sterling,,,,
DR121_H001,DR121,Expenditure,Insurance,572,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR121_H002,DR121,Expenditure,Ship Out,981,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR121_T001,DR121,Expenditure,Outfit and cargo,5200,,0,,Outfitting,Pound sterling,,,,
DR122_H001,DR122,Expenditure,Insurance,605,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR122_H002,DR122,Expenditure,Ship Out,1038,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR122_T001,DR122,Expenditure,Outfit and cargo,5500,,0,,Outfitting,Pound sterling,,,,
DR123_H001,DR123,Expenditure,Insurance,440,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR123_H002,DR123,Expenditure,Ship Out,755,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR123_T001,DR123,Expenditure,Outfit and cargo,4000,,0,,Outfitting,Pound sterling,,,,
DR124_H001,DR124,Expenditure,Insurance,594,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR124_H002,DR124,Expenditure,Ship Out,1019,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR124_T001,DR124,Expenditure,Outfit and cargo,5400,,0,,Outfitting,Pound sterling,,,,
DR125_H001,DR125,Expenditure,Insurance,693,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR125_H002,DR125,Expenditure,Ship Out,1189,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR125_T001,DR125,Expenditure,Outfit and cargo,6300,,0,,Outfitting,Pound sterling,,,,
DR126_H001,DR126,Expenditure,Insurance,550,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR126_H002,DR126,Expenditure,Ship Out,944,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR126_T001,DR126,Expenditure,Outfit and cargo,5000,,0,,Outfitting,Pound sterling,,,,
DR127_H001,DR127,Expenditure,Insurance,770,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR127_H002,DR127,Expenditure,Ship Out,1321,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR127_T001,DR127,Expenditure,Outfit and cargo,7000,,0,,Outfitting,Pound sterling,,,,
DR128_H001,DR128,Expenditure,Insurance,506,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR128_H002,DR128,Expenditure,Ship Out,868,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR128_T001,DR128,Expenditure,Outfit and cargo,4600,,0,,Outfitting,Pound sterling,,,,
DR129_H001,DR129,Expenditure,Insurance,616,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR129_H002,DR129,Expenditure,Ship Out,1057,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR129_T001,DR129,Expenditure,Outfit and cargo,5600,,0,,Outfitting,Pound sterling,,,,
DR130_H001,DR130,Expenditure,Insurance,539,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR130_H002,DR130,Expenditure,Ship Out,925,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR130_T001,DR130,Expenditure,Outfit and cargo,4900,,0,,Outfitting,Pound sterling,,,,
DR131_H001,DR131,Expenditure,Insurance,396,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR131_H002,DR131,Expenditure,Ship Out,679,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR131_T001,DR131,Expenditure,Outfit and cargo,3600,,0,,Outfitting,Pound sterling,,,,
DR132_H001,DR132,Expenditure,Insurance,308,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR132_H002,DR132,Expenditure,Ship Out,528,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR132_T001,DR132,Expenditure,Outfit and cargo,2800,,0,,Outfitting,Pound sterling,,,,
DR133_H001,DR133,Expenditure,Insurance,539,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR133_H002,DR133,Expenditure,Ship Out,925,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR133_T001,DR133,Expenditure,Outfit and cargo,4900,,0,,Outfitting,Pound sterling,,,,
DR134_H001,DR134,Expenditure,Insurance,627,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR134_H002,DR134,Expenditure,Ship Out,1076,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR134_T001,DR134,Expenditure,Outfit and cargo,5700,,0,,Outfitting,Pound sterling,,,,
DR135_H001,DR135,Expenditure,Insurance,627,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR135_H002,DR135,Expenditure,Ship Out,1076,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR135_T001,DR135,Expenditure,Outfit and cargo,5700,,0,,Outfitting,Pound sterling,,,,
DR136_H001,DR136,Expenditure,Insurance,550,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR136_H002,DR136,Expenditure,Ship Out,944,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR136_T001,DR136,Expenditure,Outfit and cargo,5000,,0,,Outfitting,Pound sterling,,,,
DR137_H001,DR137,Expenditure,Insurance,484,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR137_H002,DR137,Expenditure,Ship Out,830,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR137_T001,DR137,Expenditure,Outfit and cargo,4400,,0,,Outfitting,Pound sterling,,,,
DR138_H001,DR138,Expenditure,Insurance,572,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR138_H002,DR138,Expenditure,Ship Out,981,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR138_T001,DR138,Expenditure,Outfit and cargo,5200,,0,,Outfitting,Pound sterling,,,,
DR139_H001,DR139,Expenditure,Insurance,682,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR139_H002,DR139,Expenditure,Ship Out,1170,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR139_T001,DR139,Expenditure,Outfit and cargo,6200,,0,,Outfitting,Pound sterling,,,,
DR140_H001,DR140,Expenditure,Insurance,825,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR140_H002,DR140,Expenditure,Ship Out,1415,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR140_T001,DR140,Expenditure,Outfit and cargo,7500,,0,,Outfitting,Pound sterling,,,,
DR141_H001,DR141,Expenditure,Insurance,506,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR141_H002,DR141,Expenditure,Ship Out,868,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR141_T001,DR141,Expenditure,Outfit and cargo,4600,,0,,Outfitting,Pound sterling,,,,
DR142_H001,DR142,Expenditure,Insurance,374,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR142_H002,DR142,Expenditure,Ship Out,642,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR142_T001,DR142,Expenditure,Outfit and cargo,3400,,0,,Outfitting,Pound sterling,,,,
DR143_H001,DR143,Expenditure,Insurance,484,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR143_H002,DR143,Expenditure,Ship Out,830,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR143_T001,DR143,Expenditure,Outfit and cargo,4400,,0,,Outfitting,Pound sterling,,,,
DR144_H001,DR144,Expenditure,Insurance,770,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR144_H002,DR144,Expenditure,Ship Out,1321,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR144_T001,DR144,Expenditure,Outfit and cargo,7000,,0,,Outfitting,Pound sterling,,,,
DR145_H001,DR145,Expenditure,Insurance,594,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR145_H002,DR145,Expenditure,Ship Out,1019,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR145_T001,DR145,Expenditure,Outfit and cargo,5400,,0,,Outfitting,Pound sterling,,,,
DR146_H001,DR146,Expenditure,Insurance,627,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR146_H002,DR146,Expenditure,Ship Out,1076,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR146_T001,DR146,Expenditure,Outfit and cargo,5700,,0,,Outfitting,Pound sterling,,,,
DR147_H001,DR147,Expenditure,Insurance,682,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR147_H002,DR147,Expenditure,Ship Out,1170,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR147_T001,DR147,Expenditure,Outfit and cargo,6200,,0,,Outfitting,Pound sterling,,,,
DR148_H001,DR148,Expenditure,Insurance,2075,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR148_T001,DR148,Expenditure,Outfit,2083,,0,,Outfitting,Pound sterling,,,,
DR148_T002,DR148,Expenditure,Trade cargo costs,3818,,0,,Outfitting,Pound sterling,,Trade cargo,,
DR148_T003,DR148,Expenditure,Ship Out,2400,,0,,Outfitting,Pound sterling,,Ship,,
DR149_H001,DR149,Expenditure,Insurance,133,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR149_H002,DR149,Expenditure,Ship Out,228,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR149_T001,DR149,Expenditure,Total investments,1209,,0,,Outfitting,Pound sterling,,,,
DR150_H001,DR150,Expenditure,Insurance,273,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR150_H002,DR150,Expenditure,Ship Out,468,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR150_T001,DR150,Expenditure,Outfit and cargo,2482,,0,,Outfitting,Pound sterling,,,,
DR151_T001,DR151,Expenditure,Outfit,2853,,0,,Outfitting,Pound sterling,,,,
DR151_T002,DR151,Return,Bills of exchange,11525,,0,,Return,Pound sterling,,Credit,,
DR152_T001,DR152,Return,Proceeds of slave sales,10640,,0,,Return,Pound sterling,,Slave sale,,
DR153_T001,DR153,Return,Proceeds of slave sales,13003,,0,,Return,Pound sterling,,Slave sale,,
DR154_T001,DR154,Return,Bills of exchange,1444,,0,,Return,Pound sterling,,Credit,,
DR155_T001,DR155,Expenditure,Trade cargo costs,800,,0,,Outfitting,Pound sterling,,Trade cargo,,
DR156_T001,DR156,Return,Proceeds of slave sales,3958,,0,,Return,Pound sterling,,Slave sale,,
DR157_T001,DR157,Return,Proceeds of slave sales,15000,,0,,Return,Pound sterling,,Slave sale,,
DR158_T001,DR158,Expenditure,Outfitting and insurance,164,,0,,Outfitting,Pound sterling,,,,
DR158_T002,DR158,Return,Remittances,1762,,0,,Return,Pound sterling,,,,
DR158_T003,DR158,Expenditure,Inset charges,487,,0,,Return,Pound sterling,,,,
DR159_T001,DR159,Return,Bills of exchange,5740,,0,,Return,Pound sterling,,Credit,,
DR160_H001,DR160,Expenditure,Insurance,89,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR160_H002,DR160,Expenditure,Ship Out,153,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR160_T001,DR160,Expenditure,Outfit and cargo,811,,0,,Outfitting,Pound sterling,,,,
DR161_T001,DR161,Expenditure,Trade cargo costs,2666,,0,,Outfitting,Pound sterling,,Trade cargo,,
DR161_T002,DR161,Return,Bills of exchange,3898,,0,,Outfitting,Pound sterling,,Credit,,
DR161_T003,DR161,Return,Goods imported,1929,,0,,Outfitting,Pound sterling,,,,
DR162_T001,DR162,Expenditure,Trade cargo costs,9548,,0,,Outfitting,Pound sterling,,Trade cargo,,
DR163_T001,DR163,Return,Bills of exchange,3321,,0,,Return,Pound sterling,,Credit,,
DR163_T002,DR163,Return,Goods imported,1085,,0,,Return,Pound sterling,,,,
DR163_T003,DR163,Expenditure,Inset charges,875,,0,,Return,Pound sterling,,,,
DR164_H001,DR164,Expenditure,Insurance,38,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR164_T001,DR164,Expenditure,Outfit and cargo,344,,0,,Outfitting,Pound sterling,,,,
DR164_T002,DR164,Expenditure,Ship Out,168,,0,,Outfitting,Pound sterling,,Ship,,
DR165_T001,DR165,Expenditure,Outfit,487,,0,,Outfitting,Pound sterling,,,,
DR165_T002,DR165,Expenditure,Ship Out,169,,0,,Outfitting,Pound sterling,,Ship,,
DR166_H001,DR166,Expenditure,Insurance,105,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR166_H002,DR166,Expenditure,Ship Out,180,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR166_T001,DR166,Expenditure,Total investments,955,,0,,Outfitting,Pound sterling,,,,
DR167_H001,DR167,Expenditure,Insurance,469,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR167_T001,DR167,Expenditure,Ship purchase,735,,0,,Outfitting,Pound sterling,,,,
DR167_T002,DR167,Expenditure,Outfitting,866,,0,,Outfitting,Pound sterling,,Outfitting,,
DR167_T003,DR167,Expenditure,Outfitting,348,,0,,Outfitting,Pound sterling,,Outfitting,,
DR167_T004,DR167,Expenditure,Trade cargo costs,2312,,0,,Outfitting,Pound sterling,,Trade cargo,,
DR168_T001,DR168,Expenditure,Trade cargo costs,7754,,0,,Outfitting,Pound sterling,,Trade cargo,,
DR168_T002,DR168,Return,Bills of exchange,7934,,0,,Return,Pound sterling,,Credit,,
DR168_T003,DR168,Expenditure,Inset charges,460,,0,,Return,Pound sterling,,,,
DR168_T004,DR168,Return,Ship in,1650,,0,,Return,Pound sterling,,,,
DR169_T001,DR169,Expenditure,Ship purchase,200,,0,,Outfitting,Pound sterling,,,,
DR170_T001,DR170,Expenditure,Trade cargo costs,4512,,0,,Outfitting,Pound sterling,,Trade cargo,,
DR171_T001,DR171,Expenditure,Ship purchase,1000,,0,,Outfitting,Pound sterling,,,,
DR172_H001,DR172,Expenditure,Insurance,1190,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR172_H002,DR172,Expenditure,Ship Out,2041,nan,0,VSDO,Outfitting,Pound sterling,,Ship,,
DR172_T001,DR172,Expenditure,Trade cargo costs,7554,,0,,Outfitting,Pound sterling,,Trade cargo,,
DR172_T002,DR172,Expenditure,Outfit,3262,,0,,Outfitting,Pound sterling,,,,
DR173_H001,DR173,Expenditure,Insurance,1172,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR173_H002,DR173,Expenditure,Ship Out,2010,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR173_T001,DR173,Expenditure,Total investments,10651,,0,,Outfitting,Pound sterling,,,,
DR174_H001,DR174,Expenditure,Insurance,1174,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR174_H002,DR174,Expenditure,Ship Out,2013,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR174_T001,DR174,Expenditure,Total investments,10670,,0,,Outfitting,Pound sterling,,,,
DR175_T001,DR175,Expenditure,Ship and outfit,715,,0,,Outfitting,Pound sterling,,Unknown,,
DR176_T001,DR176,Expenditure,Outfit,92,,0,,Outfitting,Pound sterling,,,,
DR177_H001,DR177,Expenditure,Insurance,578,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR177_H002,DR177,Expenditure,Ship Out,992,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR177_H003,DR177,Return,Ship in,744,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,,,
DR177_T001,DR177,Expenditure,Total investments,5259,,0,,Outfitting,Pound sterling,,,,
DR177_T002,DR177,Return,Proceeds of slave sales,3197,,0,,Return,Pound sterling,,Slave sale,,
DR178_H001,DR178,Expenditure,Insurance,1773,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR178_H002,DR178,Expenditure,Ship Out,3042,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR178_T001,DR178,Expenditure,Total investments,16120,,0,,Outfitting,Pound sterling,,,,
DR179_H001,DR179,Expenditure,Insurance,584,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR179_H002,DR179,Expenditure,Ship Out,1003,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR179_T001,DR179,Expenditure,Total investments,5313,,0,,Outfitting,Pound sterling,,,,
DR180_H001,DR180,Expenditure,Insurance,2112,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR180_H002,DR180,Expenditure,Ship Out,3624,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR180_T001,DR180,Expenditure,Total investments,19204,,0,,Outfitting,Pound sterling,,,,
DR181_H001,DR181,Expenditure,Insurance,956,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR181_H002,DR181,Expenditure,Ship Out,1640,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR181_T001,DR181,Expenditure,Total investments,8690,,0,,Outfitting,Pound sterling,,,,
DR182_H001,DR182,Expenditure,Insurance,751,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR182_H002,DR182,Expenditure,Ship Out,1288,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR182_T001,DR182,Expenditure,Total investments,6824,,0,,Outfitting,Pound sterling,,,,
DR183_H001,DR183,Expenditure,Insurance,798,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR183_H002,DR183,Expenditure,Ship Out,1370,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR183_T001,DR183,Expenditure,Total investments,7258,,0,,Outfitting,Pound sterling,,,,
DR184_T001,DR184,Expenditure,Ship and outfit,163,,0,,Outfitting,Pound sterling,,Unknown,,
DR185_T001,DR185,Expenditure,Trade cargo costs,5804,,0,,Outfitting,Pound sterling,,Trade cargo,,
DR186_T001,DR186,Expenditure,Ship and outbound cargo,8000,,0,,Outfitting,Pound sterling,,,,
DR186_T002,DR186,Expenditure,Insurance,320,,0,,Outfitting,Pound sterling,,Insurance,-86672,1722
DR187_T001,DR187,Expenditure,Ship and outbound cargo,6500,,0,,Outfitting,Pound sterling,,,,
DR187_T002,DR187,Expenditure,Insurance,422.5,,0,,Outfitting,Pound sterling,,Insurance,-85859,1724
DR188_T001,DR188,Expenditure,Ship and outbound cargo,4500,,0,,Outfitting,Pound sterling,,,,
DR188_T002,DR188,Expenditure,Insurance,382.5,,0,,Outfitting,Pound sterling,,Insurance,-85859,1724
DR189_H001,DR189,Expenditure,Insurance,385,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR189_T001,DR189,Expenditure,Ship and outbound cargo,3500,,0,,Outfitting,Pound sterling,,,,
DR190_H001,DR190,Expenditure,Insurance,550,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR190_T001,DR190,Expenditure,Ship and outbound cargo,5000,,0,,Outfitting,Pound sterling,,,,
DR191_H001,DR191,Expenditure,Insurance,1100,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR191_T001,DR191,Expenditure,Ship and outbound cargo,10000,,0,,Outfitting,Pound sterling,,,,
DR192_H001,DR192,Expenditure,Insurance,1100,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR192_T001,DR192,Expenditure,Ship and outbound cargo,10000,,0,,Outfitting,Pound sterling,,,,
DR193_H001,DR193,Expenditure,Insurance,990,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR193_T001,DR193,Expenditure,Ship and outbound cargo,9000,,0,,Outfitting,Pound sterling,,,,
DR194_T001,DR194,Expenditure,Ship and outbound cargo,2500,,0,,Outfitting,Pound sterling,,,,
DR195_H001,DR195,Expenditure,Insurance,715,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR195_T001,DR195,Expenditure,Ship and outbound cargo,6500,,0,,Outfitting,Pound sterling,,,,
DR196_H001,DR196,Expenditure,Insurance,176,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR196_T001,DR196,Expenditure,Ship and outbound cargo,1600,,0,,Outfitting,Pound sterling,,,,
DR197_H001,DR197,Expenditure,Insurance,770,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR197_T001,DR197,Expenditure,Ship and outbound cargo,7000,,0,,Outfitting,Pound sterling,,,,
DR198_H001,DR198,Expenditure,Insurance,440,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR198_T001,DR198,Expenditure,Ship and outbound cargo,4000,,0,,Outfitting,Pound sterling,,,,
DR199_H001,DR199,Expenditure,Insurance,660,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR199_T001,DR199,Expenditure,Ship and outbound cargo,6000,,0,,Outfitting,Pound sterling,,,,
DR200_H001,DR200,Expenditure,Insurance,660,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR200_T001,DR200,Expenditure,Ship and outbound cargo,6000,,0,,Outfitting,Pound sterling,,,,
DR201_H001,DR201,Expenditure,Insurance,1100,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR201_T001,DR201,Expenditure,Ship and outbound cargo,10000,,0,,Outfitting,Pound sterling,,,,
DR202_H001,DR202,Expenditure,Insurance,990,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR202_T001,DR202,Expenditure,Ship and outbound cargo,9000,,0,,Outfitting,Pound sterling,,,,
DR203_H001,DR203,Expenditure,Insurance,495,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR203_T001,DR203,Expenditure,Ship and outbound cargo,4500,,0,,Outfitting,Pound sterling,,,,
DR204_T001,DR204,Expenditure,Outbound cargo,2380,,0,,Outfitting,Pound sterling,,,,
DR205_T001,DR205,Expenditure,Ship,800,,0,,Outfitting,Pound sterling,,,,
DR206_H001,DR206,Expenditure,Insurance,1100,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
