		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
					(0.16)																												(0.19)	(0.19)	(0.19)	(0.19)	(0.19)	(0.18)	(0.25)	(0.19)	(0.18)	(0.19)	(0.19)	(0.17)	(0.20)	(0.17)
YEARAF	(mean) YEARAF		0.0023	0.18																			0.0021	0.0034	0.0027	0.0031	0.0026	0.0030	0.0030	0.0080***	0.0067***	0.0075***														
			(0.0016)	(0.23)																			(0.0017)	(0.0021)	(0.0023)	(0.0021)	(0.0023)	(0.0021)	(0.0021)	(0.0022)	(0.0022)	(0.0024)														
yearsq	yearsq			-0.000050																																										
				(0.000064)																																										
war	(mean) war					0.034																	0.020	0.011	0.0066	0.0070	0.0043	0.0017	0.0017	0.027	0.011	0.0082	-0.013	-0.010	0.037	0.037	0.024	0.053	0.037	0.037	0.047	-0.013	-0.010	0.0080	0.037	0.033
						(0.056)																	(0.058)	(0.059)	(0.061)	(0.061)	(0.061)	(0.061)	(0.061)	(0.059)	(0.057)	(0.059)	(0.064)	(0.063)	(0.066)	(0.066)	(0.064)	(0.067)	(0.059)	(0.066)	(0.067)	(0.064)	(0.063)	(0.059)	(0.056)	(0.063)
neutral	(mean) neutral					0.042																	0.024	0.018	0.0092	0.0062	0.00019	-0.0013	-0.0013	-0.041	-0.038	-0.012	-0.015	-0.013	0.00099	0.00099	0.019	0.038	0.00099	0.00099	0.012	-0.015	-0.013	0.064	0.00099	0.035
						(0.053)																	(0.056)	(0.058)	(0.060)	(0.059)	(0.060)	(0.059)	(0.059)	(0.057)	(0.056)	(0.060)	(0.070)	(0.070)	(0.071)	(0.071)	(0.069)	(0.072)	(0.086)	(0.071)	(0.073)	(0.070)	(0.070)	(0.064)	(0.081)	(0.069)
pricemarkup	(mean) pricemarkup						0.0084																	0.029	0.022	0.026	0.020	0.025	0.025	0.038	0.031	0.040	0.012	0.013	-0.0050	-0.0050	0.000043		-0.0050	-0.0050	-0.0060	0.012	0.013	-0.019	-0.0050	
							(0.020)																	(0.025)	(0.026)	(0.027)	(0.026)	(0.026)	(0.026)	(0.025)	(0.025)	(0.026)	(0.024)	(0.024)	(0.025)	(0.025)	(0.024)		(0.024)	(0.025)	(0.025)	(0.024)	(0.024)	(0.022)	(0.022)	
captain_experience_d	Not the first voyage of the captain							-0.0062																				0.025	0.025	0.025	0.028	0.021	0.021	0.020	0.011	0.011	0.012	0.026	0.011	0.011	0.025	0.021	0.020	-0.00036	0.011	
								(0.047)																				(0.047)	(0.047)	(0.046)	(0.045)	(0.048)	(0.048)	(0.049)	(0.051)	(0.051)	(0.050)	(0.053)	(0.049)	(0.051)	(0.052)	(0.048)	(0.049)	(0.045)	(0.046)	
captain_experience	(min) captain_experience								0.0016																		0.0046																			
									(0.0092)																		(0.0092)																			
captain_total_career	(mean) captain_total_career									0.0045																																				
										(0.0059)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.085															0.072		0.074	0.074	0.10*	0.054	0.069	0.072	0.073	0.053	0.053	0.065	0.069	0.053	0.053	0.040	0.072	0.073	0.024	0.053	
											(0.063)															(0.063)		(0.063)	(0.063)	(0.061)	(0.060)	(0.065)	(0.067)	(0.067)	(0.069)	(0.069)	(0.067)	(0.069)	(0.062)	(0.069)	(0.071)	(0.067)	(0.067)	(0.062)	(0.059)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.0010													0.00053		0.00046																			
												(0.0011)													(0.0012)		(0.0012)																			
OUTFITTER_total_career	(mean) OUTFITTER_total_career												0.0021**																																	
													(0.0010)																																	
1.perspective	Perspective of source = 1, Captain													-0.42																																
														(0.35)																																
3.perspective	Perspective of source = 3, Investor													0.12																																
														(0.19)																																
4.perspective	Perspective of source = 4, Owner													0.42																																
														(0.46)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.13**															0.026	0.039	0.050	0.054				0.67***					0.054				
															(0.052)															(0.054)	(0.053)	(0.064)	(0.066)				(0.18)					(0.066)				
MORTALITY	Enslaved person mortality rate															-1.17***			-1.24***												-1.18***	-1.19***	-1.21***	-1.22***	-1.23***	-1.23***	-1.30***		-1.23***	-1.23***	-1.13***	-1.21***	-1.22***	-1.24***	-1.23***	
																(0.28)			(0.29)												(0.27)	(0.29)	(0.29)	(0.29)	(0.30)	(0.30)	(0.29)		(0.27)	(0.30)	(0.30)	(0.29)	(0.29)	(0.26)	(0.25)	
crowd	(mean) crowd																0.073	0.073	0.066													-0.013	-0.035	-0.0023	-0.0064	-0.0064	-0.12		-0.0064	-0.0064	0.093*	-0.035	-0.0023	-0.023	-0.0064	
																	(0.045)	(0.045)	(0.044)													(0.057)	(0.057)	(0.051)	(0.054)	(0.054)	(0.088)		(0.082)	(0.054)	(0.048)	(0.057)	(0.051)	(0.048)	(0.061)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.087**															-0.088	-0.088	-0.61***	-0.18	-0.088	-0.088	-0.18***			-0.0096	-0.088	-0.14***
																				(0.041)															(0.056)	(0.056)	(0.13)	(0.13)	(0.13)	(0.056)	(0.052)			(0.051)	(0.11)	(0.046)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.067***									-0.085***	-0.086***	-0.087***	-0.087***	-0.091***	-0.091***	-0.091***	0.063		-0.091	-0.091***		-0.087***	-0.091***	-0.083***	-0.091**	
																					(0.015)									(0.017)	(0.016)	(0.018)	(0.019)	(0.019)	(0.024)	(0.024)	(0.043)		(0.074)	(0.024)		(0.019)	(0.019)	(0.021)	(0.045)	
1.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 1, Bight of Guinea																					-0.0097																								
																						(0.057)																								
2.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 2, South																					0.0086																								
																						(0.067)																								
TONMOD	(mean) TONMOD																																	0.00027			0.00018	0.00051					0.00027			
																																		(0.00035)			(0.00062)	(0.00071)					(0.00035)			
totalnetexpperton	totalnetexpperton																																					-0.000023								
																																						(0.000039)								
Constant	Constant	0.097***	-4.04	-160	0.083***	0.081**	0.067	0.095**	0.087**	0.061	0.021	0.081***	0.041	-0.022	-0.60**	0.26***	-0.020	-0.020	0.17**	1.24**	0.25***	0.11**	-3.55	-6.03	-4.73	-5.54	-4.52	-5.37	-5.37	-14.3***	-11.8***	-13.3***	0.074	0.28	1.57**	1.57**	4.58***	2.37	1.57	1.57**	2.39***	0.074	0.28	0.63	1.57	1.93***
		(0.028)	(2.87)	(202)	(0.032)	(0.035)	(0.076)	(0.044)	(0.037)	(0.049)	(0.060)	(0.031)	(0.038)	(0.19)	(0.29)	(0.048)	(0.075)	(0.075)	(0.083)	(0.55)	(0.043)	(0.052)	(3.04)	(3.74)	(4.15)	(3.84)	(4.14)	(3.83)	(3.83)	(3.93)	(3.85)	(4.21)	(0.37)	(0.18)	(0.71)	(0.71)	(0.98)	(1.53)	(1.46)	(0.71)	(0.70)	(0.37)	(0.18)	(0.65)	(1.27)	(0.60)
																																														
Observations		387	387	387	387	387	369	371	371	371	364	364	364	387	364	363	322	322	317	368	364	329	387	369	351	351	350	350	350	339	338	315	315	315	298	298	298	305	298	298	298	315	315	297	298	368
R-squared		0.152	0.157	0.158	0.158	0.154	0.034	0.149	0.149	0.151	0.114	0.112	0.120	0.162	0.176	0.199	0.014	0.014	0.068	0.167	0.208	0.067	0.158	0.045	0.031	0.035	0.027	0.031	0.031	0.126	0.168	0.157	0.147	0.146	0.164	0.164	0.223	0.072	0.164	0.164	0.121	0.147	0.146	0.143	0.164	0.185
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
