Line number,VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,dateoftransaction,timing,currency,remarks
57,KR009,Expenditure,Outfitting costs,6436,,0,,,Outfitting,Danish rigsdaler,
58,KR009,Expenditure,Trade cargo costs,35658,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
59,KR009,Expenditure,Value of ship before departure,3450,,0,,,Outfitting,Danish rigsdaler,
60,KR009,Return,Remitted sale of slaves in America,36000,,0,,,Return,Danish rigsdaler,
61,KR010,Expenditure,Crew bonus,1458,,0,Other,,Return,Danish rigsdaler,Estimate based on percentage of slave sales on the same ship
62,KR010,Expenditure,Crew costs,3405,,0,,,Outfitting,Danish rigsdaler,
63,KR010,Expenditure,Extraordinary expenses,940,,0,,,Outfitting,Danish rigsdaler,
64,KR010,Expenditure,Outfitting costs,6736,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
65,KR010,Expenditure,Trade cargo costs,35658,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
66,KR010,Return,Remitted sale of slaves in America,30318,,0,,,Return,Danish rigsdaler,
67,KR011,Expenditure,Crew bonus,1440,,0,Other,,Return,Danish rigsdaler,Estimate based on percentage of slave sales on the same ship
68,KR011,Expenditure,Crew costs,3500,,0,Other,,Outfitting,Danish rigsdaler,"Estimates based on monthly hiring costs, mulitplied by an assumed number of months of hire (based on the length of an average venture, 20 months)."
69,KR011,Expenditure,Extraordinary expenses,854,,0,,,Outfitting,Danish rigsdaler,
70,KR011,Expenditure,Outfitting costs,6736,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
71,KR011,Expenditure,Trade cargo costs,55960,,0,,,Outfitting,Danish rigsdaler,
72,KR011,Return,Remitted sale of slaves in America,24000,,0,,,Return,Danish rigsdaler,
73,KR012,Expenditure,Crew bonus,1380,,0,,,Return,Danish rigsdaler,
74,KR012,Expenditure,Crew costs,4391,,0,,,Outfitting,Danish rigsdaler,
75,KR012,Expenditure,Extraordinary expenses,595,,0,,,Outfitting,Danish rigsdaler,
76,KR012,Expenditure,Outfitting costs,4131,,0,,,Outfitting,Danish rigsdaler,
77,KR012,Expenditure,Trade cargo costs,35658,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
78,KR012,Return,Remitted sale of slaves in America,24727,,0,,,Return,Danish rigsdaler,
79,KR013,Expenditure,Crew bonus,819,,0,Other,,Return,Danish rigsdaler,Estimate based on percentage of slave sales on the same ship
80,KR013,Expenditure,Crew costs,3500,,0,Other,,Outfitting,Danish rigsdaler,"Estimates based on monthly hiring costs, mulitplied by an assumed number of months of hire (based on the length of an average venture, 20 months)."
81,KR013,Expenditure,Extraordinary expenses,1704,,0,,,Outfitting,Danish rigsdaler,
82,KR013,Expenditure,Outfitting costs,6736,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
83,KR013,Expenditure,Trade cargo costs,20013,,0,,,Outfitting,Danish rigsdaler,
84,KR013,Return,Remitted sale of slaves in America,20020,,0,,,Return,Danish rigsdaler,
85,KR014,Expenditure,Crew costs,2732,,0,,,Outfitting,Danish rigsdaler,
86,KR014,Expenditure,Extraordinary expenses,2852,,0,,,Outfitting,Danish rigsdaler,
87,KR014,Expenditure,Outfitting costs,3213,,0,,,Outfitting,Danish rigsdaler,
88,KR014,Expenditure,Trade cargo costs,5297,,0,Other,,Outfitting,Danish rigsdaler,"Estimate based on cargo costs for another venture, KR015, by the Bargum Trading society."
89,KR014,Expenditure,Value of ship before departure,3450,,0,,,Outfitting,Danish rigsdaler,
90,KR015,Expenditure,Crew bonus,747,,0,Other,,Return,Danish rigsdaler,Estimate based on percentage of slave sales on the same ship
91,KR015,Expenditure,Crew costs,4082,,0,,,Outfitting,Danish rigsdaler,
92,KR015,Expenditure,Extraordinary expenses,2181,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
93,KR015,Expenditure,Outfitting costs,3833,,0,,,Outfitting,Danish rigsdaler,
94,KR015,Expenditure,Trade cargo costs,5297,,0,,,Outfitting,Danish rigsdaler,
95,KR015,Expenditure,Value of ship before departure,3000,,0,,,Outfitting,Danish rigsdaler,
96,KR015,Return,Remitted sale of slaves in America,15092,,0,Other,,Return,Danish rigsdaler,Estimate based on number of slaves sold and assumption of average price of slaves sold by Bargum.
97,KR016,Return,Freight compensation,2040,,0,,,Return,Danish rigsdaler,Refers to all venture KR001-KR015 in total
98,KR016,Return,Remitted sale of slaves in America,203205,,0,,,Return,Danish rigsdaler,Refers to all venture KR001-KR015 in total
99,KR016,Expenditure,Insurance,50474,,0,Other,,Unknown,Danish rigsdaler,Refers to all venture KR001-KR015 in total
100,KR016,Return,Sale of American goods,50441,,0,,,Return,Danish rigsdaler,Refers to all venture KR001-KR015 in total
101,KR017,Expenditure,Total expenditure,50608,,0,,,Outfitting,Danish rigsdaler,
102,KR017,Return,Remitted sale of slaves in America,53311,,0,,,Return,Danish rigsdaler,
103,KR017,Return,Sale of American goods,10569,,0,,,Return,Danish rigsdaler,
104,KR018,Expenditure,Total expenditure,53545,,0,,,Outfitting,Danish rigsdaler,
105,KR018,Return,Remitted sale of slaves in America,56428,,0,,,Return,Danish rigsdaler,
106,KR018,Return,Sale of American goods,4746,,0,,,Return,Danish rigsdaler,
107,KR019,Expenditure,Total expenditure,43977,,0,,,Outfitting,Danish rigsdaler,
108,KR019,Return,Remitted sale of slaves in America,84128,,0,,,Return,Danish rigsdaler,
109,KR019,Return,Sale of American goods,6560,,0,,,Return,Danish rigsdaler,
110,KR020,Expenditure,Total expenditure,76417,,0,,,Outfitting,Danish rigsdaler,
