linenumber,VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,dateoftransaction,timing,currency,remarks
61,DR009,Return,Ship In,214.4805,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
62,DR010,Expenditure,Insurance,23.33,,0,,1752-02-13,Outfitting,Pound sterling,
63,DR010,Expenditure,Other expenditures,352.65,,0,,1752-02-13,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.
64,DR010,Expenditure,Trade cargo costs,502.84,Credit,0,,1752-02-13,Outfitting,Pound sterling,
65,DR010,Return,Other return,852.6,,0,,1755-02-20,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).
66,DR010,Return,Returned goods,224.25,,0,,1755-02-20,Return,Pound sterling,
67,DR010,Expenditure,Ship Out,149.3994,,0,VSDT*VSDO,,Outfitting,Pound sterling,
68,DR010,Return,Ship In,112.04955,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
69,DR011,Expenditure,Insurance,18.9,,0,,,Outfitting,Pound sterling,
70,DR011,Expenditure,Other expenditures,1078.78,,0,,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.
71,DR011,Return,Total returns,1054.6,,0,,1755-08-13,Return,Pound sterling,
72,DR011,Expenditure,Ship Out,186.6056,,0,VSDT*VSDO,,Outfitting,Pound sterling,
73,DR011,Return,Ship In,139.9542,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
74,DR012,Expenditure,Insurance,90.76,,0,,1753-05-12,Outfitting,Pound sterling,
75,DR012,Expenditure,Other expenditures,32.78,,0,,1753-05-12,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.
76,DR012,Expenditure,Outfitting,165.38,,0,,1753-05-12,Outfitting,Pound sterling,
77,DR012,Expenditure,Trade cargo costs,1311.41,Credit,0,,,Outfitting,Pound sterling,
78,DR012,Return,Total returns,1707.14,,0,,1759-11-12,Return,Pound sterling,
79,DR012,Expenditure,Ship Out,272.0561,,0,VSDT*VSDO,,Outfitting,Pound sterling,
80,DR012,Return,Ship In,204.042075,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
81,DR013,Expenditure,Insurance,37.79,,0,,,Outfitting,Pound sterling,
82,DR013,Expenditure,Other expenditures,782.29,,0,,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.
83,DR013,Return,Other return,495.27,,0,,1752-12-27,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).
84,DR013,Return,Ship In,80,,0,,1752-12-27,Return,Pound sterling,
85,DR013,Expenditure,Ship Out,106.67,,0,VSDR,,Outfitting,Pound sterling,
86,DR014,Expenditure,Insurance,42.11,,0,,1756-08-02,Outfitting,Pound sterling,
87,DR014,Expenditure,Insurance,9.98,,0,,,Outfitting,Pound sterling,
88,DR014,Expenditure,Other expenditures,787.65,,0,,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.
89,DR014,Expenditure,Trade cargo costs,1397.98,Credit,0,,,Outfitting,Pound sterling,
90,DR014,Return,Insurance loss reimbursement,821.2,,0,,1756-04-03,Return,Pound sterling,
91,DR014,Return,Other return,641.03,,0,,1756-04-03,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).
