linenumber,VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,dateoftransaction,timing,currency,remarks
294,DR053,Return,Sale of sugar,228.15,,0,,1752-06-28,Return,Pound sterling,
295,DR053,Return,Ship In,30.1,,0,VSDO*VSRV,,Return,Pound sterling,
296,DR054,Expenditure,Cargo and outfitting,127.34,,0,,1751-09-16,Outfitting,Pound sterling,
297,DR054,Expenditure,Insurance,14.01,,0,INV,,Outfitting,Pound sterling,
298,DR054,Expenditure,Ship Out,24.03,,0,VSDO,,Outfitting,Pound sterling,
299,DR054,Return,Bills of exchange,103.65,,0,,1755-03,Return,Pound sterling,
300,DR054,Return,Ship In,18.02,,0,VSDO*VSRV,,Return,Pound sterling,
301,DR055,Expenditure,Cargo and outfitting,69,,0,,1755-03-07,Outfitting,Pound sterling,
302,DR055,Expenditure,Ship Out,13.24,,0,VSDO,,Outfitting,Pound sterling,
303,DR055,Return,Inset,78.83,,0,,1756-05,Return,Pound sterling,Includes insurance payment
304,DR055,Return,Ship In,9.93,,0,VSDO*VSRV,,Return,Pound sterling,
305,DR055,Expenditure,Insurance,8.9,,0,INV,,Outfitting,Pound sterling,
306,DR056,Expenditure,Cargo and outfitting,72.09,,0,,1756-05,Outfitting,Pound sterling,Includes insurance payment
307,DR056,Expenditure,Ship Out,8.8,,0,VSRV,,Outfitting,Pound sterling,Estimated based on residual value from previous voyage DR055
308,DR056,Return,Sale of sugar,71.45,,0,,1757-08,Return,Pound sterling,
309,DR056,Return,Ship In,6.6,,0,VSRV*VSRV,,Return,Pound sterling,
310,DR056,Expenditure,Insurance,21,,0,INV,,Outfitting,Pound sterling,
311,DR057,Expenditure,Outlays,78,,0,,1757-05,Outfitting,Pound sterling,
312,DR057,Expenditure,Balance of account,11.7,,0,,1757-05,Outfitting,Pound sterling,
313,DR057,Expenditure,Ship Out,19.21,,0,VSDO,,Outfitting,Pound sterling,
314,DR057,Expenditure,Insurance,23.32,,0,INV,,Outfitting,Pound sterling,
315,DR057,Return,Inset,121.81,,0,,,Return,Pound sterling,
316,DR057,Return,Settlement for seized ship,32.5,,0,,,Return,Pound sterling,
317,DR058,Expenditure,Cargo and outfitting,354.33,,0,,1757-10-20,Outfitting,Pound sterling,
318,DR058,Expenditure,Insurance,114.28,,0,,,Outfitting,Pound sterling,
319,DR058,Expenditure,Ship Out,88.89,,0,VSDR*VSDR,,Outfitting,Pound sterling,
320,DR058,Expenditure,Inward costs,152.14,,0,,,Return,Pound sterling,Estimated as residual of gross and net returns in source.
321,DR058,Return,Ship In,66.67,,0,VSDR,,Return,Pound sterling,Estimated based on Ship Out on the following voyage DR059
322,DR058,Return,Bills of exchange,432.95,,0,,1758-08-10,Return,Pound sterling,
323,DR058,Return,Sale of sugar,260.79,,0,,1758-08-10,Return,Pound sterling,
324,DR059,Expenditure,Cargo and outfitting,362.02,,0,,1758-09,Outfitting,Pound sterling,
325,DR059,Expenditure,Ship Out,66.67,,0,VSDR,,Outfitting,Pound sterling,Estimated based on residual value of 75% after voyage from this voyage
326,DR059,Expenditure,Insurance,105.45,,0,,,Outfitting,Pound sterling,
327,DR059,Return,Ship In,50,,0,,1759-09-15,Return,Pound sterling,
328,DR059,Return,Bills of exchange,734.32,,0,,1759-09-15,Return,Pound sterling,
329,DR060,Expenditure,Cargo and outfitting,458.55,,0,,1759-07-25,Outfitting,Pound sterling,
330,DR060,Expenditure,Insurance,118,,0,,,Outfitting,Pound sterling,
331,DR060,Expenditure,Ship Out,50,,0,Other,,Outfitting,Pound sterling,Estimated based on residual value from previous voyage DR059
332,DR060,Return,Bills of exchange,245.56,,0,,1760-05-28,Return,Pound sterling,
333,DR060,Return,Bills of exchange,286.71,,0,,1760-09-20,Return,Pound sterling,
334,DR060,Return,Sale of sugar,54.6,,0,,,Return,Pound sterling,
335,DR060,Return,Ship In,50,,0,,,Return,Pound sterling,
336,DR061,Expenditure,Cargo and outfitting,370.54,,0,,,Outfitting,Pound sterling,
337,DR061,Expenditure,Insurance,105.46,,0,,,Outfitting,Pound sterling,
338,DR061,Expenditure,Ship Out,50,,0,Other,,Outfitting,Pound sterling,Estimated based on residual value from previous voyage DR060
339,DR061,Return,Inward account,495.48,,0,,,Return,Pound sterling,
340,DR061,Return,Returned goods,26.59,,0,,,Return,Pound sterling,
341,DR061,Return,Ship In,50,,0,,,Return,Pound sterling,
342,DR062,Expenditure,Ship and outfit,135.84,,0,,1758-10-20,Outfitting,Pound sterling,
343,DR062,Expenditure,Cargo,229.16,,0,,1758-10-20,Outfitting,Pound sterling,
344,DR062,Expenditure,Insurance,94.9,,0,INV,,Outfitting,Pound sterling,
345,DR062,Return,Net inset,482.48,,0,,,Return,Pound sterling,Includes residual ship value
346,DR063,Expenditure,Ship and outfit,201.78,,0,,1758-01-18,Outfitting,Pound sterling,
347,DR063,Expenditure,Cargo,289.47,,0,,1758-01-18,Outfitting,Pound sterling,
348,DR063,Expenditure,Insurance,73.36,,0,,,Outfitting,Pound sterling,
349,DR063,Return,"Net inset, including ship in",756.45,,0,,,Return,Pound sterling,"Re-calculated for a 1/16 share of the venture, based on inset to another, 1/24 shareholder."
350,DR064,Expenditure,Cargo and outfitting,491.25,,0,,1759-02-15,Outfitting,Pound sterling,
351,DR064,Expenditure,Ship Out,105.01,,0,VSDO,,Outfitting,Pound sterling,
352,DR064,Expenditure,Insurance,126.45,,0,INV,,Outfitting,Pound sterling,
353,DR064,Return,Inward account,504.3,,0,,,Return,Pound sterling,
354,DR064,Return,Ship In,78.76,,0,VSDO*VSRV,,Return,Pound sterling,
355,DR065,Expenditure,Cargo,247.68,,0,,1760,Outfitting,Pound sterling,
356,DR065,Expenditure,Outfitting,60.45,,0,,1760,Outfitting,Pound sterling,
357,DR065,Expenditure,Insurance,65.15,,0,,,Outfitting,Pound sterling,
358,DR065,Expenditure,Ship Out,106.67,,0,VSDR,,Outfitting,Pound sterling,Estimated based on residual value of 75% after voyage from this voyage
359,DR065,Return,Sale of sugar,260.95,,0,,,Return,Pound sterling,
360,DR065,Return,Returned goods,80.85,,0,,,Return,Pound sterling,
361,DR065,Return,Ship In,80,,0,,,Return,Pound sterling,
362,DR065,Return,Other return,171.75,,0,,,Return,Pound sterling,Estimated as the residual of total net inset and specific details of the inset.
363,DR066,Expenditure,Cargo and outfitting,311.73,,0,,1759-10-01,Outfitting,Pound sterling,
364,DR066,Expenditure,Insurance,44.23,,0,,,Outfitting,Pound sterling,
365,DR066,Expenditure,Ship Out,44.4,,0,VSDR,,Outfitting,Pound sterling,Estimated based on residual value of 75% after voyage from this voyage
366,DR066,Return,Inward account,455.93,,0,,,Return,Pound sterling,
367,DR066,Return,Ship In,33.3,,0,,,Return,Pound sterling,
368,DR067,Expenditure,Cargo and outfitting,274.17,,0,,1760-09-20,Outfitting,Pound sterling,
369,DR067,Expenditure,Insurance,41.18,,0,,1760-09-23,Outfitting,Pound sterling,
370,DR067,Expenditure,Insurance,12.6,,0,,1761-05-09,Outfitting,Pound sterling,
371,DR067,Expenditure,Ship Out,33.3,,0,Other,,Outfitting,Pound sterling,Estimated based on residual value from previous voyage DR066
372,DR067,Expenditure,Wages,9.12,,0,,1761-08-19,Return,Pound sterling,
373,DR067,Return,Inward account,446.93,,0,,,Return,Pound sterling,
374,DR067,Return,Ship In,25,,0,,,Return,Pound sterling,
375,DR068,Expenditure,Outfitting,612.39,,0,,,Outfitting,Pound sterling,
376,DR068,Expenditure,Cargo,2428.05,,0,,,Outfitting,Pound sterling,
377,DR068,Expenditure,Insurance,334.45,,0,INV,,Outfitting,Pound sterling,
378,DR068,Expenditure,Ship Out,228.77,,0,VSDR,,Outfitting,Pound sterling,
379,DR068,Return,Inset,3100.26,,0,,1765-09-06,Return,Pound sterling,
380,DR068,Return,Ship In,45,,0,,1765-09-06,Return,Pound sterling,
381,DR068,Return,Ship In,126.58,,0,,1767-04-18,Return,Pound sterling,
382,DR069,Expenditure,Cargo,3467.7,,0,,,Outfitting,Pound sterling,
383,DR069,Expenditure,Ship and outfit,1996.3,,0,,,Outfitting,Pound sterling,
384,DR069,Expenditure,Insurance,601.04,,0,INV,,Outfitting,Pound sterling,
385,DR069,Return,Net inset,5657.86,,0,,,Return,Pound sterling,
386,DR069,Return,Ship In,660.93,,0,VSRV,,Return,Pound sterling,
387,DR070,Expenditure,Cargo,4196,,0,,,Outfitting,Pound sterling,
388,DR070,Expenditure,Outfitting,954,,0,,,Outfitting,Pound sterling,
389,DR070,Expenditure,Ship Out,1600,,0,VSDR,,Outfitting,Pound sterling,Estimated based on residual value of 75% after voyage from this voyage
390,DR070,Expenditure,Insurance,566,,0,INV,,Outfitting,Pound sterling,
391,DR070,Return,Ship In,1200,,0,,,Return,Pound sterling,
392,DR070,Return,Net inset,3503,,0,,,Return,Pound sterling,
393,DR071,Expenditure,Outlays,3336,,0,,,Outfitting,Pound sterling,
394,DR071,Return,Inset,2392,,0,,,Return,Pound sterling,
395,DR071,Expenditure,Insurance,367,,0,INT,,Outfitting,Pound sterling,
396,DR071,Expenditure,Ship Out,629.51,,0,VSDT*VSDO,,Outfitting,Pound sterling,
397,DR071,Return,Ship In,472.1325,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
398,DR072,Expenditure,Outlays,2555,,0,,,Outfitting,Pound sterling,
399,DR072,Return,Inset,3219,,0,,,Return,Pound sterling,
400,DR072,Expenditure,Insurance,281.05,,0,INT,,Outfitting,Pound sterling,
401,DR072,Expenditure,Ship Out,434.35,,0,VSDT*VSDO,,Outfitting,Pound sterling,
402,DR072,Return,Ship In,325.7625,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
403,DR073,Expenditure,Outlays,3256,,0,,,Outfitting,Pound sterling,
404,DR073,Return,Inset,3539,,0,,,Return,Pound sterling,
405,DR073,Expenditure,Insurance,358.16,,0,INT,,Outfitting,Pound sterling,
406,DR073,Expenditure,Ship Out,553.52,,0,VSDT*VSDO,,Outfitting,Pound sterling,
407,DR073,Return,Ship In,415.14,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
408,DR074,Expenditure,Outlays,6816,,0,,,Outfitting,Pound sterling,
409,DR074,Return,Inset,7672,,0,,,Return,Pound sterling,
410,DR074,Expenditure,Insurance,749.76,,0,INT,,Outfitting,Pound sterling,
411,DR074,Expenditure,Ship Out,1158.72,,0,VSDT*VSDO,,Outfitting,Pound sterling,
412,DR074,Return,Ship In,869.04,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
413,DR075,Expenditure,Outlays,3547,,0,,,Outfitting,Pound sterling,
414,DR075,Return,Inset,3133,,0,,,Return,Pound sterling,
415,DR075,Expenditure,Insurance,390.17,,0,INT,,Outfitting,Pound sterling,
416,DR075,Expenditure,Ship Out,602.99,,0,VSDT*VSDO,,Outfitting,Pound sterling,
417,DR075,Return,Ship In,452.2425,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
418,DR076,Expenditure,Outlays,5752,,0,,,Outfitting,Pound sterling,
419,DR076,Return,Inset,3176,,0,,,Return,Pound sterling,
420,DR076,Expenditure,Insurance,633,,0,INT,,Outfitting,Pound sterling,
421,DR076,Expenditure,Ship Out,977.84,,0,VSDT*VSDO,,Outfitting,Pound sterling,
422,DR076,Return,Ship In,733.38,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
423,DR077,Expenditure,Outlays,1776,,0,,,Outfitting,Pound sterling,
424,DR077,Return,Inset,1572,,0,,,Return,Pound sterling,
425,DR077,Expenditure,Insurance,349,,0,INT,,Outfitting,Pound sterling,
426,DR077,Expenditure,Ship Out,301.92,,0,VSDT*VSDO,,Outfitting,Pound sterling,
427,DR077,Return,Ship In,226.44,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
428,DR078,Expenditure,Outlays,1560,,0,,,Outfitting,Pound sterling,
429,DR078,Return,Inset,1362,,0,,,Return,Pound sterling,
430,DR078,Expenditure,Insurance,195,,0,INT,,Outfitting,Pound sterling,
431,DR078,Expenditure,Ship Out,265.2,,0,VSDT*VSDO,,Outfitting,Pound sterling,
432,DR078,Return,Ship In,198.9,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
433,DR079,Expenditure,Outlays,1588,,0,,,Outfitting,Pound sterling,
434,DR079,Return,Inset,1256,,0,,,Return,Pound sterling,
435,DR079,Expenditure,Insurance,173,,0,INT,,Outfitting,Pound sterling,
436,DR079,Expenditure,Ship Out,269.96,,0,VSDT*VSDO,,Outfitting,Pound sterling,
437,DR079,Return,Ship In,202.47,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
438,DR080,Expenditure,Outlays,1884,,0,,,Outfitting,Pound sterling,
439,DR080,Return,Inset,1164,,0,,,Return,Pound sterling,
440,DR080,Expenditure,Insurance,172,,0,INT,,Outfitting,Pound sterling,
441,DR080,Expenditure,Ship Out,320.28,,0,VSDT*VSDO,,Outfitting,Pound sterling,
442,DR080,Return,Ship In,240.21,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
443,DR081,Expenditure,Outlays,1104,,0,,,Outfitting,Pound sterling,
444,DR081,Return,Inset,1926,,0,,,Return,Pound sterling,
445,DR081,Expenditure,Insurance,150,,0,INT,,Outfitting,Pound sterling,
446,DR081,Expenditure,Ship Out,187.68,,0,VSDT*VSDO,,Outfitting,Pound sterling,
447,DR081,Return,Ship In,140.76,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
448,DR082,Expenditure,Outlays,5840,,0,,,Outfitting,Pound sterling,
449,DR082,Return,Inset,9760,,0,,,Return,Pound sterling,
450,DR082,Expenditure,Insurance,413,,0,INT,,Outfitting,Pound sterling,
451,DR082,Expenditure,Ship Out,992.8,,0,VSDT*VSDO,,Outfitting,Pound sterling,
452,DR082,Return,Ship In,744.6,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
453,DR083,Expenditure,Outlays,7136,,0,,,Outfitting,Pound sterling,
454,DR083,Return,Inset,8056,,0,,,Return,Pound sterling,
455,DR083,Expenditure,Insurance,138,,0,INT,,Outfitting,Pound sterling,
456,DR083,Expenditure,Ship Out,1213.12,,0,VSDT*VSDO,,Outfitting,Pound sterling,
457,DR083,Return,Ship In,909.84,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
458,DR084,Expenditure,Outlays,6048,,0,,,Outfitting,Pound sterling,
459,DR084,Return,Inset,8320,,0,,,Return,Pound sterling,
460,DR084,Expenditure,Insurance,207,,0,INT,,Outfitting,Pound sterling,
461,DR084,Expenditure,Ship Out,1028.16,,0,VSDT*VSDO,,Outfitting,Pound sterling,
462,DR084,Return,Ship In,771.12,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
463,DR085,Expenditure,Outlays,6568,,0,,,Outfitting,Pound sterling,
464,DR085,Return,Inset,6816,,0,,,Return,Pound sterling,
465,DR085,Expenditure,Insurance,128,,0,INT,,Outfitting,Pound sterling,
466,DR085,Expenditure,Ship Out,1116.56,,0,VSDT*VSDO,,Outfitting,Pound sterling,
467,DR085,Return,Ship In,837.42,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
468,DR086,Expenditure,Outlays,6136,,0,,,Outfitting,Pound sterling,
469,DR086,Return,Inset,7560,,0,,,Return,Pound sterling,
470,DR086,Expenditure,Insurance,121,,0,INT,,Outfitting,Pound sterling,
471,DR086,Expenditure,Ship Out,1043.12,,0,VSDT*VSDO,,Outfitting,Pound sterling,
472,DR086,Return,Ship In,782.34,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
473,DR087,Expenditure,Outlays,6592,,0,,,Outfitting,Pound sterling,
474,DR087,Return,Inset,5888,,0,,,Return,Pound sterling,
475,DR087,Expenditure,Insurance,212,,0,INT,,Outfitting,Pound sterling,
476,DR087,Expenditure,Ship Out,1120.64,,0,VSDT*VSDO,,Outfitting,Pound sterling,
477,DR087,Return,Ship In,840.48,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
478,DR088,Expenditure,Outlays,3616,,0,,,Outfitting,Pound sterling,
479,DR088,Return,Inset,1936,,0,,,Return,Pound sterling,
480,DR088,Expenditure,Insurance,1518,,0,INT,,Outfitting,Pound sterling,
481,DR088,Expenditure,Ship Out,614.72,,0,VSDT*VSDO,,Outfitting,Pound sterling,
482,DR088,Return,Ship In,461.04,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
483,DR089,Expenditure,Outlays,3872,,0,,,Outfitting,Pound sterling,
484,DR089,Return,Inset,4088,,0,,,Return,Pound sterling,
485,DR089,Expenditure,Insurance,1074,,0,INT,,Outfitting,Pound sterling,
486,DR089,Expenditure,Ship Out,658.24,,0,VSDT*VSDO,,Outfitting,Pound sterling,
487,DR089,Return,Ship In,493.68,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
488,DR090,Expenditure,Outlays,2669,,0,,,Outfitting,Pound sterling,
489,DR090,Return,Inset,3029,,0,,,Return,Pound sterling,
490,DR090,Expenditure,Insurance,785,,0,INT,,Outfitting,Pound sterling,
491,DR090,Expenditure,Ship Out,453.73,,0,VSDT*VSDO,,Outfitting,Pound sterling,
492,DR090,Return,Ship In,340.2975,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
493,DR091,Expenditure,Outlays,2597,,0,,,Outfitting,Pound sterling,
494,DR091,Return,Inset,2803,,0,,,Return,Pound sterling,
495,DR091,Expenditure,Insurance,886,,0,INT,,Outfitting,Pound sterling,
496,DR091,Expenditure,Ship Out,441.49,,0,VSDT*VSDO,,Outfitting,Pound sterling,
497,DR091,Return,Ship In,331.1175,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
498,DR092,Expenditure,Outlays,2765,,0,,,Outfitting,Pound sterling,
499,DR092,Return,Inset,3627,,0,,,Return,Pound sterling,
500,DR092,Expenditure,Insurance,665,,0,INT,,Outfitting,Pound sterling,
501,DR092,Expenditure,Ship Out,470.05,,0,VSDT*VSDO,,Outfitting,Pound sterling,
502,DR092,Return,Ship In,352.5375,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
503,DR093,Expenditure,Outlays,4227,,0,,,Outfitting,Pound sterling,
504,DR093,Return,Inset,4200,,0,,,Return,Pound sterling,
505,DR093,Expenditure,Insurance,915,,0,INT,,Outfitting,Pound sterling,
506,DR093,Expenditure,Ship Out,718.59,,0,VSDT*VSDO,,Outfitting,Pound sterling,
507,DR093,Return,Ship In,538.9425,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
508,DR094,Expenditure,Outlays,3885,,0,,,Outfitting,Pound sterling,
509,DR094,Return,Inset,3731,,0,,,Return,Pound sterling,
510,DR094,Expenditure,Insurance,722,,0,INT,,Outfitting,Pound sterling,
511,DR094,Expenditure,Ship Out,660.45,,0,VSDT*VSDO,,Outfitting,Pound sterling,
512,DR094,Return,Ship In,495.3375,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
513,DR095,Expenditure,Outlays,8124,,0,,,Outfitting,Pound sterling,
514,DR095,Return,Inset,6120,,0,,,Return,Pound sterling,
515,DR095,Expenditure,Insurance,750,,0,INT,,Outfitting,Pound sterling,
516,DR095,Expenditure,Ship Out,1381.08,,0,VSDT*VSDO,,Outfitting,Pound sterling,
517,DR095,Return,Ship In,1035.81,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
518,DR096,Expenditure,Outlays,7536,,0,,,Outfitting,Pound sterling,
519,DR096,Return,Inset,8240,,0,,,Return,Pound sterling,
520,DR096,Expenditure,Insurance,675,,0,INT,,Outfitting,Pound sterling,
521,DR096,Expenditure,Ship Out,1281.12,,0,VSDT*VSDO,,Outfitting,Pound sterling,
522,DR096,Return,Ship In,960.84,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
523,DR097,Expenditure,Outlays,2421,,0,,,Outfitting,Pound sterling,
524,DR097,Return,Inset,2893,,0,,,Return,Pound sterling,
525,DR097,Expenditure,Insurance,832,,0,INT,,Outfitting,Pound sterling,
526,DR097,Expenditure,Ship Out,411.57,,0,VSDT*VSDO,,Outfitting,Pound sterling,
527,DR097,Return,Ship In,308.6775,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
528,DR098,Expenditure,Outlays,4317,,0,,,Outfitting,Pound sterling,
529,DR098,Return,Inset,2880,,0,,,Return,Pound sterling,
530,DR098,Expenditure,Insurance,725,,0,INT,,Outfitting,Pound sterling,
531,DR098,Expenditure,Ship Out,733.89,,0,VSDT*VSDO,,Outfitting,Pound sterling,
532,DR098,Return,Ship In,550.4175,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
533,DR099,Expenditure,Outlays,2688,,0,,,Outfitting,Pound sterling,
534,DR099,Return,Inset,2955,,0,,,Return,Pound sterling,
535,DR099,Expenditure,Insurance,648,,0,INT,,Outfitting,Pound sterling,
536,DR099,Expenditure,Ship Out,456.96,,0,VSDT*VSDO,,Outfitting,Pound sterling,
537,DR099,Return,Ship In,342.72,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
538,DR100,Expenditure,Outlays,8556,,0,,,Outfitting,Pound sterling,
539,DR100,Return,Inset,9066,,0,,,Return,Pound sterling,
540,DR100,Expenditure,Insurance,398,,0,INT,,Outfitting,Pound sterling,
541,DR100,Expenditure,Ship Out,1454.52,,0,VSDT*VSDO,,Outfitting,Pound sterling,
542,DR100,Return,Ship In,1090.89,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
543,DR101,Expenditure,"Ship, cargo and outfit",435,,0,,1759-09-15,Outfitting,Pound sterling,
544,DR101,Expenditure,Insurance,37.95,,0,,,Outfitting,Pound sterling,
545,DR101,Expenditure,Insurance,12.63,,0,,,Outfitting,Pound sterling,
546,DR101,Return,Inset,386.25,,0,Other,1760-08-04,Return,Pound sterling,Estimated from outlays and the 1/8 loss of �390 settled this date.
547,KR022,Expenditure,Insurance,273.75,,0,,1793-10-31,Outfitting,Pound sterling,
548,KR022,Expenditure,Insurance,543,,0,,1793-12-09,Outfitting,Pound sterling,
549,KR022,Expenditure,Insurance,284.1,,0,,1794-01-31,Outfitting,Pound sterling,
550,KR022,Expenditure,Insurance,271.5,,0,,1794-02-22,Outfitting,Pound sterling,
551,KR022,Expenditure,Insurance,94.5,,0,,1794-02-27,Outfitting,Pound sterling,
552,KR022,Expenditure,Disbursements,949.31,,0,,1794-07-09,Return,Pound sterling,
553,KR022,Expenditure,Wages,22.73,,0,,1794-08-16,Return,Pound sterling,
554,KR022,Expenditure,Disbursements,530.75,,0,,1794-08-16,Return,Pound sterling,
555,KR022,Expenditure,Loss on dollars shipped,22.07,,0,,1794-08-16,Return,Pound sterling,
556,KR022,Expenditure,Discount allowed brokers,0.21,,0,,1794-08-20,Return,Pound sterling,
557,KR022,Expenditure,Insurance,126.6,,0,,1794-10-02,Return,Pound sterling,
558,KR022,Expenditure,Various,82.79,,0,,1794-10-02,Return,Pound sterling,
559,KR022,Expenditure,Wages,178.82,,0,,1794-10-02,Return,Pound sterling,
560,KR022,Expenditure,Various,56.96,,0,,1794-10-02,Return,Pound sterling,
561,KR022,Expenditure,Duty,14.17,,0,,1794-10-08,Return,Pound sterling,
562,KR022,Expenditure,Various,11.97,,0,,1794-10-25,Return,Pound sterling,
563,KR022,Expenditure,Various,110.08,,0,,1794-10-25,Return,Pound sterling,
564,KR022,Expenditure,Various,267.9,,0,,1794-12-10,Return,Pound sterling,
565,KR022,Expenditure,Cash paid,2.79,,0,,1794-12-29,Return,Pound sterling,
566,KR022,Expenditure,Cash paid,4.44,,0,,1795-02-06,Return,Pound sterling,
567,KR022,Expenditure,Commissions,456.47,,0,,1795-02-06,Return,Pound sterling,
568,KR022,Return,Proceeds of slave sales,3648.27,,0,,1794-07-09,Return,Pound sterling,
569,KR022,Return,Various,46.06,,0,,1794-08-16,Return,Pound sterling,
570,KR022,Return,Short interest on specie,321.43,,0,,1794-09-19,Return,Pound sterling,
571,KR022,Return,Freight charges,362.06,,0,,1794-10-08,Return,Pound sterling,
572,KR022,Return,Freight charges,33.45,,0,,1794-10-08,Return,Pound sterling,
573,KR022,Return,Freight charges,20.4,,0,,1794-10-08,Return,Pound sterling,
574,KR022,Return,Freight charges,57.44,,0,,1794-10-08,Return,Pound sterling,
575,KR022,Return,Freight charges,20,,0,,1794-10-08,Return,Pound sterling,
576,KR022,Return,Freight charges,93.13,,0,,1794-10-08,Return,Pound sterling,
577,KR022,Return,Freight charges,22.9,,0,,1794-10-13,Return,Pound sterling,
578,KR022,Return,Sundry goods sold,230.69,,0,,1794-10-13,Return,Pound sterling,
579,KR022,Return,Sundry goods sold,264.72,,0,,1794-10-13,Return,Pound sterling,
580,KR022,Return,Sundry goods sold,1669.54,,0,,1794-10-13,Return,Pound sterling,
581,KR022,Return,Exchange gains,19.94,,0,,1794-11-01,Return,Pound sterling,
582,KR022,Return,Sundry goods sold,2043.375,,0,,1794-12-10,Return,Pound sterling,
583,KR022,Return,Cash received,9.38,,0,,1795-01-24,Return,Pound sterling,
584,KR022,Return,Various,250.3,,0,,1795-01-24,Return,Pound sterling,
585,KR022,Return,Cash received,16.43,,0,,1795-04-01,Return,Pound sterling,
586,KR022,Expenditure,Ship Out,731.8347,,0,VSDT*VSDO,,Outfitting,Pound sterling,
587,KR022,Return,Ship In,548.876025,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
588,KR023,Expenditure,Trade cargo costs,8326.75,,0,,,Outfitting,Pound sterling,
589,KR023,Expenditure,Outfitting & advance wages,2307.5,,0,,,Outfitting,Pound sterling,
590,KR023,Expenditure,Insurance,3615,,0,INV,,Outfitting,Pound sterling,
591,KR023,Expenditure,Ship Out,2422.37,,0,VSDO,,Outfitting,Pound sterling,
592,KR023,Return,Bills of exchange,22726.05,,0,,,Return,Pound sterling,
593,KR023,Return,Ship In,1816.77,,0,VSDO*VSRV,,Return,Pound sterling,
594,KR024,Expenditure,Trade cargo costs,6357.38,,0,,,Outfitting,Pound sterling,
595,KR024,Expenditure,Outfitting & advance wages,1624.75,,0,,,Outfitting,Pound sterling,
596,KR024,Expenditure,Inset,323.2,,0,,,Return,Pound sterling,
597,KR024,Expenditure,Insurance,2714,,0,INV,,Outfitting,Pound sterling,
598,KR024,Expenditure,Ship Out,1873.29,,0,VSDO,,Outfitting,Pound sterling,
599,KR024,Return,Inset,935.85,,0,,,Return,Pound sterling,
600,KR024,Return,Inset,19021.6,,0,,,Return,Pound sterling,
601,KR024,Return,Ship In,1404.96,,0,VSDO*VSRV,,Return,Pound sterling,
602,KR025,Expenditure,Trade cargo costs,8896.19,,0,,,Outfitting,Pound sterling,
603,KR025,Expenditure,Outfitting & advance wages,6048.93,,0,,,Outfitting,Pound sterling,
604,KR025,Expenditure,Ship Out,2100,,0,,,Outfitting,Pound sterling,
605,KR025,Expenditure,Insurance,5795,,0,INV,,Outfitting,Pound sterling,
606,KR025,Return,"Inset, including sale of ship",24430.44,,0,,,Return,Pound sterling,
607,KR026,Expenditure,Trade cargo costs,7267.93,,0,,,Outfitting,Pound sterling,
608,KR026,Expenditure,Outfitting & advance wages,4124.94,,0,,,Outfitting,Pound sterling,
609,KR026,Expenditure,Insurance,3874,,0,INV,,Outfitting,Pound sterling,
610,KR026,Expenditure,Ship Out,2595.37,,0,VSDO,,Outfitting,Pound sterling,
611,KR026,Return,Inset,13271,,0,,,Return,Pound sterling,
612,KR026,Return,Ship In,1946.53,,0,VSDO*VSRV,,Return,Pound sterling,
613,KR027,Expenditure,Trade cargo costs,3791.11,,0,,,Outfitting,Pound sterling,
614,KR027,Expenditure,Ship Out,644.4887,,0,VSDT*VSDO,,Outfitting,Pound sterling,
615,KR027,Return,Ship In,483.366525,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
616,KR028,Expenditure,Trade cargo costs,4720.38,,0,,,Outfitting,Pound sterling,
